Date,Open,High,Low,Close,Volume,OpenInt,Stock
4/25/2016,26.25,26.41250038,26.12750053,26.27000046,112126400,0,AAPL
4/26/2016,25.97750092,26.32500076,25.97750092,26.08749962,224064800,0,AAPL
4/27/2016,24,24.67749977,23.92000008,24.45499992,458408400,0,AAPL
4/28/2016,24.40250015,24.46999931,23.5625,23.70750046,328970800,0,AAPL
4/29/2016,23.49749947,23.68000031,23.12750053,23.43499947,274126000,0,AAPL
5/2/2016,23.49250031,23.52000046,23.10000038,23.40999985,192640400,0,AAPL
5/3/2016,23.54999924,23.93499947,23.42000008,23.79500008,227325200,0,AAPL
5/4/2016,23.79999924,23.97500038,23.45499992,23.54750061,164102000,0,AAPL
5/5/2016,23.5,23.51749992,23.17000008,23.30999947,143562000,0,AAPL
5/6/2016,23.34250069,23.36249924,22.96249962,23.18000031,174799600,0,AAPL
5/9/2016,23.25,23.44249916,23.14749908,23.19750023,131745600,0,AAPL
5/10/2016,23.33250046,23.39249992,23.02750015,23.35499954,134747200,0,AAPL
5/11/2016,23.37000084,23.39249992,23.11499977,23.12750053,114876400,0,AAPL
5/12/2016,23.18000031,23.19499969,22.36750031,22.58499908,305258800,0,AAPL
5/13/2016,22.5,22.91749954,22.5,22.62999916,177571200,0,AAPL
5/16/2016,23.09749985,23.59749985,22.91250038,23.46999931,245039200,0,AAPL
5/17/2016,23.63750076,23.67499924,23.25250053,23.37249947,187667600,0,AAPL
5/18/2016,23.54000092,23.80249977,23.47249985,23.63999939,168249600,0,AAPL
5/19/2016,23.65999985,23.65999985,23.39249992,23.54999924,121768400,0,AAPL
5/20/2016,23.65999985,23.85750008,23.62999916,23.80500031,128104000,0,AAPL
5/23/2016,23.96750069,24.29750061,23.91749954,24.10750008,152074400,0,AAPL
5/24/2016,24.30500031,24.52249908,24.20999908,24.47500038,140560800,0,AAPL
5/25/2016,24.66749954,24.93499947,24.52750015,24.90500069,152675200,0,AAPL
5/26/2016,24.92000008,25.18250084,24.65999985,25.10250092,225324800,0,AAPL
5/27/2016,24.86000061,25.11750031,24.8125,25.08749962,145364800,0,AAPL
5/31/2016,24.89999962,25.10000038,24.70499992,24.96500015,169228800,0,AAPL
6/1/2016,24.75499916,24.88500023,24.58250046,24.61499977,116693200,0,AAPL
6/2/2016,24.39999962,24.45999908,24.15749931,24.43000031,160766400,0,AAPL
6/3/2016,24.44750023,24.56749916,24.36249924,24.47999954,114019600,0,AAPL
6/6/2016,24.49749947,25.47249985,24.38750076,24.65749931,93170000,0,AAPL
6/7/2016,24.8125,24.96750069,24.73999977,24.75749969,89638000,0,AAPL
6/8/2016,24.75499916,24.88999939,24.67000008,24.73500061,83392400,0,AAPL
6/9/2016,24.625,24.99749947,24.61499977,24.91250038,106405600,0,AAPL
6/10/2016,24.63249969,24.83749962,24.62000084,24.70750046,126851600,0,AAPL
6/13/2016,24.67250061,24.78000069,24.27499962,24.33499908,152082000,0,AAPL
6/14/2016,24.32999992,24.62000084,24.1875,24.36499977,127727600,0,AAPL
6/15/2016,24.45499992,24.60250092,24.25749969,24.28499985,117780800,0,AAPL
6/16/2016,24.11249924,24.4375,24.01749992,24.38750076,125307200,0,AAPL
6/17/2016,24.15500069,24.16250038,23.82500076,23.83250046,244032800,0,AAPL
6/20/2016,24,24.14249992,23.75749969,23.77499962,137647600,0,AAPL
6/21/2016,23.73500061,24.08749962,23.67000008,23.97750092,142185600,0,AAPL
6/22/2016,24.0625,24.22249985,23.83749962,23.88750076,116876400,0,AAPL
6/23/2016,23.98500061,24.07250023,23.8125,24.02499962,128960800,0,AAPL
6/24/2016,23.22750092,23.66500092,23.16250038,23.35000038,301245600,0,AAPL
6/27/2016,23.25,23.26250076,22.875,23.01000023,181958400,0,AAPL
6/28/2016,23.22500038,23.41500092,23.03499985,23.39749908,161779600,0,AAPL
6/29/2016,23.49250031,23.63750076,23.40749931,23.60000038,146124000,0,AAPL
6/30/2016,23.61000061,23.94249916,23.57500076,23.89999962,143345600,0,AAPL
7/1/2016,23.87249947,24.11750031,23.83250046,23.97249985,104106000,0,AAPL
7/5/2016,23.84749985,23.85000038,23.61499977,23.74749947,110820800,0,AAPL
7/6/2016,23.64999962,23.91500092,23.59250069,23.88249969,123796400,0,AAPL
7/7/2016,23.92499924,24.125,23.90500069,23.98500061,100558400,0,AAPL
7/8/2016,24.12249947,24.22249985,24.01250076,24.17000008,115648400,0,AAPL
7/11/2016,24.1875,24.41250038,24.18250084,24.24500084,95179600,0,AAPL
7/12/2016,24.29249954,24.42499924,24.28000069,24.35499954,96670000,0,AAPL
7/13/2016,24.35250092,24.41749954,24.20999908,24.21750069,103568800,0,AAPL
7/14/2016,24.34749985,24.74749947,24.32999992,24.69750023,155676000,0,AAPL
7/15/2016,24.72999954,24.82500076,24.625,24.69499969,120548000,0,AAPL
7/18/2016,24.67499924,25.03249931,24.64999962,24.95750046,145975600,0,AAPL
7/19/2016,24.88999939,25,24.83499908,24.96750069,95119600,0,AAPL
7/20/2016,25,25.11499977,24.93499947,24.98999977,105104000,0,AAPL
7/21/2016,24.95750046,25.25,24.78249931,24.85750008,130808000,0,AAPL
